Company Name,Car Name,Variant,Fuel Type,Tyre Condition,Make Year,Owner Type,Registration Number,Mileage,Price,Transmission Type,Body Color,Service Record,Insurance,Registration Certificate,Accessories
Maruti Suzuki,Cruze,EX,CNG,Needs Replacement,2018,Second,84-436-5584,52798,759107,Manual,Grey,Major Service at 50418 km,No Current Insurance,Not Available,"Music System, Sunroof, Alloy Wheels"
Kia,Seltos,RXE,Petrol,New,2020,Third,79-114-3166,43412,505071,Automatic,Maroon,Major Service at 131313 km,No Current Insurance,Available,
Kia,Accord,RXE,Petrol,New,2022,Second,41-358-3344,95219,635322,Automatic (Tiptronic),Black,No Service Record,No Current Insurance,Available,
Nissan,Seltos,Highline,Diesel,Used,2024,Third,92-708-1763,70370,483152,Automatic (Tiptronic),Maroon,Major Service at 98115 km,Valid Until [date],Available,"Music System, Alloy Wheels"
Chevrolet,Kwid,Highline,Petrol,Used,2018,Second,76-154-5485,85852,712961,Automatic (Tiptronic),Silver,Major Service at 135665 km,No Current Insurance,Not Available,"GPS, Music System"
Volkswagen,Cruze,LE,Petrol,New,2021,Second,21-711-8793,28516,209930,Automatic,Gold,Major Service at 63857 km,No Current Insurance,Available,"Sunroof, Music System, Leather Seats"
Maruti Suzuki,Camry,,CNG,Used,2017,Third,92-504-4180,70676,550187,Automatic,Red,Full Service History,Valid Until [date],Not Available,GPS
Toyota,F-150,,CNG,New,2021,Second,78-995-2467,197377,344563,Automatic,Black,No Service Record,Valid Until [date],Not Available,"GPS, Leather Seats"
Volkswagen,Kwid,ZXI,Petrol,New,2022,Third,87-719-2138,155320,596554,Manual,Grey,Full Service History,No Current Insurance,Available,"GPS, Music System, Sunroof, Leather Seats"
Ford,Swift,GT,Petrol,Used,2018,Second,41-421-7619,16544,387560,Manual,White,Full Service History,Valid Until [date],Not Available,"Music System, Leather Seats, Alloy Wheels"
Chevrolet,Sunny,,CNG,Used,2019,Third,74-685-5799,56900,398364,Automatic,Blue,Full Service History,Valid Until [date],Available,"Leather Seats, Music System, Alloy Wheels, GPS"
Renault,Seltos,SL,Diesel,Used,2022,Third,30-582-1226,180803,878665,Manual,Grey,Full Service History,No Current Insurance,Available,GPS
Nissan,Polo,GT,Petrol,New,2019,Third,26-123-2714,49463,358621,Manual,Silver,No Service Record,Valid Until [date],Not Available,Leather Seats
Chevrolet,Camry,,Petrol,New,2019,Third,17-472-2864,91642,398425,Manual,Silver,Major Service at 107494 km,Valid Until [date],Not Available,"Sunroof, GPS"
Ford,F-150,GT,Diesel,Used,2021,First,52-526-8025,181160,400648,Manual,Blue,Full Service History,Valid Until [date],Available,"Alloy Wheels, Leather Seats, Music System"
Ford,Camry,Highline,CNG,Needs Replacement,2024,Second,75-142-3982,50017,837833,Automatic (Tiptronic),Grey,Major Service at 133362 km,Valid Until [date],Available,"Sunroof, GPS, Leather Seats, Alloy Wheels"
Nissan,Sunny,SE,CNG,New,2020,Third,77-837-4210,15287,974120,Automatic (Tiptronic),Gold,Full Service History,Valid Until [date],Available,"Leather Seats, Alloy Wheels, Music System"
Volkswagen,Swift,GT,Diesel,New,2015,Third,70-996-7410,44927,286013,Automatic (Tiptronic),Blue,No Service Record,No Current Insurance,Available,GPS
Renault,Sunny,ZXI,CNG,New,2018,First,63-164-7921,21253,630268,Automatic,Maroon,No Service Record,Valid Until [date],Not Available,GPS
Kia,Polo,Highline,CNG,Needs Replacement,2016,First,19-313-1460,84675,356006,Automatic (Tiptronic),Grey,No Service Record,No Current Insurance,Not Available,"Alloy Wheels, GPS"
Toyota,Sunny,EX,Petrol,Needs Replacement,2016,Third,17-521-9471,102088,709912,Manual,Black,Full Service History,Valid Until [date],Available,GPS
Maruti Suzuki,Cruze,LE,Petrol,New,2021,Second,18-319-9342,164133,688565,Automatic (Tiptronic),Maroon,No Service Record,No Current Insurance,Not Available,Leather Seats
Kia,Accord,,Diesel,Used,2019,Third,54-547-5118,181920,232657,Automatic,White,Major Service at 146566 km,No Current Insurance,Not Available,"Leather Seats, GPS, Alloy Wheels, Sunroof"
Hyundai,Polo,RXE,Diesel,Needs Replacement,2017,Third,51-586-2243,61544,657242,Manual,Red,Full Service History,Valid Until [date],Available,Music System
